"Quantidade de vendas por dia","listItems.itemsId.keyword: Descending",Count
"2019-06-05",2602,5
"2019-06-05",5000413,5
"2019-06-05",6000072,5
"2019-06-05",6017,5
"2019-06-05",7100059,5
"2019-06-05",7700016,5
"2019-06-05",7700048,5
"2019-06-05",9058,5
"2019-06-05",20008,4
"2019-06-05",7100074,4
"2019-06-05",7100078,4
"2019-06-05",7700021,4
"2019-06-05",9105,4
"2019-06-05",9106,4
"2019-06-05",6018,3
"2019-06-05",7700019,3
"2019-06-05",7700065,3
"2019-06-05",8700004,3
"2019-06-05",8800001,3
"2019-06-05",9052,3
"2019-06-05",9103,3
"2019-06-05",1806,2
"2019-06-05",27001,2
"2019-06-05",6019,2
"2019-06-05",7100062,2
"2019-06-05",7300016,2
"2019-06-05",8000041,2
"2019-06-05",8800002,2
"2019-06-05",9011,2
"2019-06-05",9055,2
"2019-06-05",2050,1
"2019-06-05",2612,1
"2019-06-05",6021,1
"2019-06-05",7100058,1
"2019-06-05",7300018,1
"2019-06-05",7300022,1
"2019-06-05",7300025,1
"2019-06-05",7700059,1
"2019-06-05",8000037,1
"2019-06-05",8550011,1
"2019-06-05",8600010,1
"2019-06-05",8700009,1
"2019-06-05",8700010,1
"2019-06-05",8700019,1
"2019-06-05",9014,1
"2019-06-05",9059,1
"2019-06-06",9008,473
"2019-06-06",6012,306
"2019-06-06",1050,116
"2019-06-06",1804,99
"2019-06-06",7100023,96
"2019-06-06",6013,88
"2019-06-06",2106,82
"2019-06-06",2700,47
"2019-06-06",8800008,47
"2019-06-06",6011,46
"2019-06-06",7300014,39
"2019-06-06",1700,37
"2019-06-06",7100022,37
"2019-06-06",7100036,35
"2019-06-06",6020,32
"2019-06-06",20002,27
"2019-06-06",7300015,26
"2019-06-06",8000007,26
"2019-06-06",7100033,24
"2019-06-06",8000013,23
"2019-06-06",7300001,19
"2019-06-06",8000043,19
"2019-06-06",7100057,18
"2019-06-06",8000045,18
"2019-06-06",1052,17
"2019-06-06",20006,17
"2019-06-06",7100021,17
"2019-06-06",8000012,17
"2019-06-06",2604,16
"2019-06-06",7100075,16
"2019-06-06",8700020,16
"2019-06-06",2100,15
"2019-06-06",8700017,15
"2019-06-06",20000,14
"2019-06-06",7300024,14
"2019-06-06",8000001,14
"2019-06-06",1600,13
"2019-06-06",7700020,13
"2019-06-06",7700017,12
"2019-06-06",7700016,11
"2019-06-06",8800010,11
"2019-06-06",9010,11
"2019-06-06",2064,10
"2019-06-06",5000074,10
"2019-06-06",7100074,9
"2019-06-06",9049,9
"2019-06-06",2602,8
"2019-06-06",6508,8
"2019-06-06",6522,8
"2019-06-06",8000032,8
"2019-06-06",7100055,7
"2019-06-06",30000,6
"2019-06-06",5000413,6
"2019-06-06",6000072,6
"2019-06-06",6018,6
"2019-06-06",7100056,6
"2019-06-06",7100061,6
"2019-06-06",7700048,6
"2019-06-06",7900006,6
"2019-06-06",9105,6
"2019-06-06",7700019,5
"2019-06-06",8000049,5
"2019-06-06",8600010,5
"2019-06-06",20008,4
"2019-06-06",7100060,4
"2019-06-06",7100079,4
"2019-06-06",9058,4
"2019-06-06",2612,3
"2019-06-06",6019,3
"2019-06-06",7100059,3
"2019-06-06",7100076,3
"2019-06-06",7100078,3
"2019-06-06",8000037,3
"2019-06-06",8000040,3
"2019-06-06",8800001,3
"2019-06-06",9052,3
"2019-06-06",9103,3
"2019-06-06",2610,2
"2019-06-06",6021,2
"2019-06-06",7100058,2
"2019-06-06",7700049,2
"2019-06-06",7700050,2
"2019-06-06",7700062,2
"2019-06-06",8000046,2
"2019-06-06",8700019,2
"2019-06-06",9013,2
"2019-06-06",9014,2
"2019-06-06",9059,2
"2019-06-06",9106,2
"2019-06-06",20007,1
"2019-06-06",2614,1
"2019-06-06",27001,1
"2019-06-06",27002,1
"2019-06-06",6017,1
"2019-06-06",7100062,1
"2019-06-06",7300018,1
"2019-06-06",7700021,1
"2019-06-06",7700055,1
"2019-06-06",8600009,1
"2019-06-06",8600011,1
"2019-06-06",8700001,1
"2019-06-06",8700004,1
"2019-06-06",8700005,1
"2019-06-06",8700006,1
"2019-06-06",8700013,1
"2019-06-06",8700048,1
"2019-06-06",8800002,1
"2019-06-06",9011,1
"2019-06-06",9055,1
"2019-06-07",9008,654
"2019-06-07",6012,462
"2019-06-07",1050,175
"2019-06-07",2106,121
"2019-06-07",1804,115
"2019-06-07",7100023,102
"2019-06-07",6013,98
"2019-06-07",8800008,75
"2019-06-07",2700,74
"2019-06-07",6020,55
"2019-06-07",7300014,54
"2019-06-07",1700,53
"2019-06-07",6011,51
"2019-06-07",1052,45
"2019-06-07",7100022,41
"2019-06-07",20006,40
"2019-06-07",8000007,37
"2019-06-07",7300001,33
"2019-06-07",8700020,33
"2019-06-07",7100036,32
"2019-06-07",1600,31
"2019-06-07",7300015,30
"2019-06-07",2604,29
"2019-06-07",20002,27
"2019-06-07",2100,27
"2019-06-07",8000001,27
"2019-06-07",8700017,25
"2019-06-07",7100033,23
"2019-06-07",20000,22
"2019-06-07",7700020,21
"2019-06-07",8000045,21
"2019-06-07",7100055,18
"2019-06-07",7300024,18
"2019-06-07",7100075,17
"2019-06-07",9010,17
"2019-06-07",6522,16
"2019-06-07",8800010,16
"2019-06-07",7100056,15
"2019-06-07",7100057,13
"2019-06-07",7100061,13
"2019-06-07",2602,12
"2019-06-07",7700017,11
"2019-06-07",7700019,11
"2019-06-07",8000043,11
"2019-06-07",30000,10
"2019-06-07",5000413,10
"2019-06-07",7100078,10
"2019-06-07",7900006,10
"2019-06-07",2064,9
"2019-06-07",7100021,9
"2019-06-07",7700016,9
"2019-06-07",8000012,9
"2019-06-07",8000013,9
"2019-06-07",9103,9
"2019-06-07",9106,9
"2019-06-07",20008,8
"2019-06-07",5000074,8
"2019-06-07",6017,8
"2019-06-07",7100079,8
"2019-06-07",7700048,8
"2019-06-07",9049,8
"2019-06-07",9058,8
"2019-06-07",9105,8
"2019-06-07",2612,7
"2019-06-07",6508,7
"2019-06-07",7100058,7
"2019-06-07",6018,6
"2019-06-07",6019,6
"2019-06-07",7100060,6
"2019-06-07",7300018,6
"2019-06-07",2610,5
"2019-06-07",7100074,5
"2019-06-07",6000072,4
"2019-06-07",7100062,4
"2019-06-07",8000032,4
"2019-06-07",8800002,4
"2019-06-07",9014,4
"2019-06-07",7100059,3
"2019-06-07",7100076,3
"2019-06-07",8000041,3
"2019-06-07",8000047,3
"2019-06-07",8000048,3
"2019-06-07",8000049,3
"2019-06-07",8600010,3
"2019-06-07",8700004,3
"2019-06-07",8700007,3
"2019-06-07",9052,3
"2019-06-07",1806,2
"2019-06-07",27001,2
"2019-06-07",27002,2
"2019-06-07",6021,2
"2019-06-07",7700021,2
"2019-06-07",7700050,2
"2019-06-07",8000037,2
"2019-06-07",8600002,2
"2019-06-07",8800001,2
"2019-06-07",9011,2
"2019-06-07",9055,2
"2019-06-07",2614,1
"2019-06-07",5000076,1
"2019-06-07",7300016,1
"2019-06-07",7300020,1
"2019-06-07",7700065,1
"2019-06-07",8000061,1
"2019-06-07",8700001,1
"2019-06-07",8700005,1
"2019-06-07",8700006,1
"2019-06-07",8700009,1
"2019-06-07",8700010,1
"2019-06-07",8700018,1
"2019-06-07",8700048,1
"2019-06-07",9013,1
"2019-06-07",9104,1
"2019-06-08",9008,710
"2019-06-08",6012,470
"2019-06-08",1050,212
"2019-06-08",6011,133
"2019-06-08",6013,111
"2019-06-08",2106,109
"2019-06-08",1804,108
"2019-06-08",7100023,100
"2019-06-08",7300014,69
"2019-06-08",2100,63
"2019-06-08",2700,63
"2019-06-08",30000,63
"2019-06-08",7900006,63
"2019-06-08",7100022,52
"2019-06-08",1700,49
"2019-06-08",7100036,46
"2019-06-08",7300001,46
"2019-06-08",9058,45
"2019-06-08",8800008,44
"2019-06-08",6020,40
"2019-06-08",8000007,40
"2019-06-08",7700020,32
"2019-06-08",1600,30
"2019-06-08",20006,30
"2019-06-08",1052,29
"2019-06-08",8700020,29
"2019-06-08",7100033,27
"2019-06-08",8700017,25
"2019-06-08",2064,24
"2019-06-08",20000,23
"2019-06-08",7300015,23
"2019-06-08",20002,22
"2019-06-08",7100057,22
"2019-06-08",8000013,21
"2019-06-08",6508,20
"2019-06-08",7100021,19
"2019-06-08",7100079,19
"2019-06-08",7100055,18
"2019-06-08",7100075,18
"2019-06-08",6522,17
"2019-06-08",7300024,17
"2019-06-08",7700016,17
"2019-06-08",8000001,17
"2019-06-08",8000012,17
"2019-06-08",8000045,17
"2019-06-08",2604,16
"2019-06-08",9049,16
"2019-06-08",5000891,15
"2019-06-08",7100060,15
"2019-06-08",7100061,14
"2019-06-08",7700017,14
"2019-06-08",9103,14
"2019-06-08",7700019,13
"2019-06-08",8000040,13
"2019-06-08",8000043,13
"2019-06-08",2050,10
"2019-06-08",2612,10
"2019-06-08",5000074,9
"2019-06-08",7100056,9
"2019-06-08",7100074,9
"2019-06-08",9010,9
"2019-06-08",2610,8
"2019-06-08",6000072,8
"2019-06-08",7100078,8
"2019-06-08",5000413,7
"2019-06-08",6017,7
"2019-06-08",6018,7
"2019-06-08",8800010,7
"2019-06-08",2602,6
"2019-06-08",7100058,6
"2019-06-08",7100059,5
"2019-06-08",7100062,5
"2019-06-08",7300018,5
"2019-06-08",7700021,5
"2019-06-08",9013,5
"2019-06-08",9105,5
"2019-06-08",1806,4
"2019-06-08",9052,4
"2019-06-08",6019,3
"2019-06-08",7100076,3
"2019-06-08",8000049,3
"2019-06-08",8800001,3
"2019-06-08",8800002,3
"2019-06-08",9106,3
"2019-06-08",20008,2
"2019-06-08",2614,2
"2019-06-08",27002,2
"2019-06-08",6021,2
"2019-06-08",7300021,2
"2019-06-08",7700048,2
"2019-06-08",7700059,2
"2019-06-08",8000041,2
"2019-06-08",8000046,2
"2019-06-08",8600010,2
"2019-06-08",8700011,2
"2019-06-08",8700013,2
"2019-06-08",9011,2
"2019-06-08",20007,1
"2019-06-08",27001,1
"2019-06-08",6027,1
"2019-06-08",7700049,1
"2019-06-08",7700050,1
"2019-06-08",7700058,1
"2019-06-08",7700063,1
"2019-06-08",7700065,1
"2019-06-08",8000037,1
"2019-06-08",8000047,1
"2019-06-08",8000061,1
"2019-06-08",8600009,1
"2019-06-08",8600012,1
"2019-06-08",8700012,1
"2019-06-08",9055,1
"2019-06-08",9101,1
"2019-06-09",9008,508
"2019-06-09",6012,357
"2019-06-09",1050,155
"2019-06-09",1804,96
"2019-06-09",6013,84
"2019-06-09",7100023,78
"2019-06-09",2106,75
"2019-06-09",6011,61
"2019-06-09",1700,53
"2019-06-09",2700,52
"2019-06-09",7300014,51
"2019-06-09",6020,39
"2019-06-09",7300001,33
"2019-06-09",30000,31
"2019-06-09",7900006,31
"2019-06-09",2100,30
"2019-06-09",20002,29
"2019-06-09",7700020,29
"2019-06-09",8000007,29
"2019-06-09",8800008,29
"2019-06-09",1052,28
"2019-06-09",8000013,27
"2019-06-09",20000,26
"2019-06-09",7300015,26
"2019-06-09",7100022,25
"2019-06-09",8700020,24
"2019-06-09",2604,23
"2019-06-09",7100036,23
"2019-06-09",7100057,22
"2019-06-09",7300024,21
"2019-06-09",1600,20
"2019-06-09",9058,20
"2019-06-09",20006,19
"2019-06-09",7100033,17
"2019-06-09",7100061,17
"2019-06-09",8700017,17
"2019-06-09",8800010,17
"2019-06-09",7100055,16
"2019-06-09",8000012,16
"2019-06-09",7100060,15
"2019-06-09",7100021,14
"2019-06-09",6508,13
"2019-06-09",7100075,12
"2019-06-09",9010,12
"2019-06-09",7100079,11
"2019-06-09",7700016,11
"2019-06-09",2064,10
"2019-06-09",6522,9
"2019-06-09",7100078,9
"2019-06-09",8000001,9
"2019-06-09",8000043,9
"2019-06-09",9106,9
"2019-06-09",2610,8
"2019-06-09",7100074,8
"2019-06-09",7700017,8
"2019-06-09",8000040,8
"2019-06-09",8000045,8
"2019-06-09",9103,8
"2019-06-09",7100056,7
"2019-06-09",2602,6
"2019-06-09",2612,6
"2019-06-09",5000074,6
"2019-06-09",2050,5
"2019-06-09",5000413,5
"2019-06-09",6019,5
"2019-06-09",7700019,5
"2019-06-09",7700021,5
"2019-06-09",9011,5
"2019-06-09",6000072,4
"2019-06-09",6017,4
"2019-06-09",7300018,4
"2019-06-09",8000041,4
"2019-06-09",9049,4
"2019-06-09",27002,3
"2019-06-09",7100058,3
"2019-06-09",7100059,3
"2019-06-09",8000046,3
"2019-06-09",8800001,3
"2019-06-09",9059,3
"2019-06-09",20008,2
"2019-06-09",2606,2
"2019-06-09",5000891,2
"2019-06-09",7100062,2
"2019-06-09",7700048,2
"2019-06-09",7700058,2
"2019-06-09",8000048,2
"2019-06-09",8000049,2
"2019-06-09",8700019,2
"2019-06-09",8800002,2
"2019-06-09",9013,2
"2019-06-09",9052,2
"2019-06-09",9101,2
"2019-06-09",1806,1
"2019-06-09",27001,1
"2019-06-09",6018,1
"2019-06-09",7300021,1
"2019-06-09",7300022,1
"2019-06-09",7700049,1
"2019-06-09",7700050,1
"2019-06-09",7700057,1
"2019-06-09",7700059,1
"2019-06-09",7700061,1
"2019-06-09",8000047,1
"2019-06-09",8000061,1
